scheme,source_code,source_label,analysis_code,analysis_label,mapping_kind,n_2010_in_group,n_2018_in_group
2012,0010,Chief Executives,0010,Chief Executives,one_to_one,1,1
2012,0020,General and Operations Managers,0020,General and Operations Managers,one_to_one,1,1
2012,0030,Legislators,0030,Legislators,one_to_one,1,1
2012,0040,Advertising and Promotions Managers,0040,Advertising and Promotions Managers,one_to_one,1,1
2012,0050,Marketing and Sales Managers,0051,Marketing and Sales Managers,split_collapsed,1,2
2012,0060,Public Relations and Fundraising Managers,0060,Public Relations and Fundraising Managers,one_to_one,1,1
2012,0100,Administrative Services Managers,0101,Administrative Services Managers,split_collapsed,1,2
2012,0110,Computer and Information Systems Managers,0110,Computer and Information Systems Managers,one_to_one,1,1
2012,0120,Financial Managers,0120,Financial Managers,one_to_one,1,1
2012,0135,Compensation and Benefits Managers,0135,Compensation and Benefits Managers,one_to_one,1,1
2012,0136,Human Resources Managers,0136,Human Resources Managers,one_to_one,1,1
2012,0137,Training and Development Managers,0137,Training and Development Managers,one_to_one,1,1
2012,0140,Industrial Production Managers,0140,Industrial Production Managers,one_to_one,1,1
2012,0150,Purchasing Managers,0150,Purchasing Managers,one_to_one,1,1
2012,0160,"Transportation, Storage, and Distribution Managers",0160,"Transportation, Storage, and Distribution Managers",one_to_one,1,1
2012,0205,"Farmers, Ranchers, and Other Agricultural Managers",0205,"Farmers, Ranchers, and Other Agricultural Managers",one_to_one,1,1
2012,0220,Construction Managers,0220,Construction Managers,one_to_one,1,1
2012,0230,Education Administrators,0230,Education and Childcare Administrators,one_to_one,1,1
2012,0300,Architectural and Engineering Managers,0300,Architectural and Engineering Managers,one_to_one,1,1
2012,0310,Food Service Managers,0310,Food Service Managers,one_to_one,1,1
2012,0325,Funeral Service Managers,0325,Funeral Home Managers,one_to_one,1,1
2012,0330,Gaming Managers,0335,Entertainment and Recreation Managers,one_to_one,1,1
2012,0340,Lodging Managers,0340,Lodging Managers,one_to_one,1,1
