# State FIPS -> Census region. Source: US Census Bureau, "Census Regions and
# Divisions of the United States" (standard 4-region assignment). FIPS codes
# match the ACS PUMS ST/STATE variable (2-digit, zero-padded).
fips,state,region
09,CT,Northeast
23,ME,Northeast
25,MA,Northeast
33,NH,Northeast
44,RI,Northeast
50,VT,Northeast
34,NJ,Northeast
36,NY,Northeast
42,PA,Northeast
17,IL,Midwest
18,IN,Midwest
26,MI,Midwest
39,OH,Midwest
55,WI,Midwest
19,IA,Midwest
20,KS,Midwest
27,MN,Midwest
29,MO,Midwest
31,NE,Midwest
38,ND,Midwest
46,SD,Midwest
10,DE,South
11,DC,South
12,FL,South
13,GA,South
24,MD,South
37,NC,South
45,SC,South
51,VA,South
54,WV,South
01,AL,South
21,KY,South
28,MS,South
47,TN,South
05,AR,South
22,LA,South
40,OK,South
48,TX,South
04,AZ,West
08,CO,West
16,ID,West
30,MT,West
32,NV,West
35,NM,West
49,UT,West
56,WY,West
02,AK,West
06,CA,West
15,HI,West
41,OR,West
53,WA,West
