# Region x age x sex death counts from CDC WONDER, Underlying Cause of
# Death 2018-2024 Single Race database, retrieved 2026-08-27 via the four
# runs specified in output/letter/geo_bound_PENDING.md (2020 limited to the
# 46 jurisdictions reporting I&O data that year; 2021 to 49; ages 25-74;
# COVID-19 = ICD-10 U07.1 underlying). Layout: config/README.md.
# Checksums: 2020 all-cause 1,378,604 / COVID 134,186;
#            2021 all-cause 1,617,889 / COVID 234,749.
year,region,age10,sex,total_deaths,covid_deaths
2020,Midwest,25-34,F,4466,114
2020,Midwest,25-34,M,10594,214
2020,Midwest,35-44,F,7112,286
2020,Midwest,35-44,M,13305,548
2020,Midwest,45-54,F,14260,887
2020,Midwest,45-54,M,23597,1703
2020,Midwest,55-64,F,35559,2659
2020,Midwest,55-64,M,56292,4606
2020,Midwest,65-74,F,60434,5867
2020,Midwest,65-74,M,83013,9331
2020,Northeast,25-34,F,3067,136
2020,Northeast,25-34,M,7784,324
2020,Northeast,35-44,F,5047,318
2020,Northeast,35-44,M,10467,924
2020,Northeast,45-54,F,10478,1040
2020,Northeast,45-54,M,19191,2589
2020,Northeast,55-64,F,26520,3185
2020,Northeast,55-64,M,43889,6405
2020,Northeast,65-74,F,46208,6350
2020,Northeast,65-74,M,64309,10777
2020,South,25-34,F,8446,323
2020,South,25-34,M,19449,510
2020,South,35-44,F,14874,864
2020,South,35-44,M,26714,1447
2020,South,45-54,F,28937,2328
2020,South,45-54,M,46638,4051
2020,South,55-64,F,67161,6029
2020,South,55-64,M,104253,9461
2020,South,65-74,F,107994,10974
2020,South,65-74,M,147436,16567
2020,West,25-34,F,4046,148
2020,West,25-34,M,10014,299
2020,West,35-44,F,6399,400
2020,West,35-44,M,13065,860
2020,West,45-54,F,12544,945
2020,West,45-54,M,22062,2319
2020,West,55-64,F,28235,2234
2020,West,55-64,M,47844,4821
2020,West,65-74,F,47608,4043
2020,West,65-74,M,69293,7300
2021,Midwest,25-34,F,4923,346
2021,Midwest,25-34,M,11683,566
2021,Midwest,35-44,F,8632,956
2021,Midwest,35-44,M,16139,1489
2021,Midwest,45-54,F,16149,2240
2021,Midwest,45-54,M,27021,3728
2021,Midwest,55-64,F,39616,5206
2021,Midwest,55-64,M,61990,7892
2021,Midwest,65-74,F,66632,8160
2021,Midwest,65-74,M,91585,11367
2021,Northeast,25-34,F,3208,168
2021,Northeast,25-34,M,7743,315
2021,Northeast,35-44,F,5455,466
2021,Northeast,35-44,M,11035,822
2021,Northeast,45-54,F,10866,1272
2021,Northeast,45-54,M,18699,2215
2021,Northeast,55-64,F,26398,3203
2021,Northeast,55-64,M,42906,5287
2021,Northeast,65-74,F,45647,5498
2021,Northeast,65-74,M,62632,7944
2021,South,25-34,F,11054,1243
2021,South,25-34,M,24470,1992
2021,South,35-44,F,20142,3413
2021,South,35-44,M,35646,5141
2021,South,45-54,F,36985,7233
2021,South,45-54,M,60228,11803
2021,South,55-64,F,82794,14559
2021,South,55-64,M,126738,21026
2021,South,65-74,F,132039,20398
2021,South,65-74,M,176902,27024
2021,West,25-34,F,5070,498
2021,West,25-34,M,13685,994
2021,West,35-44,F,8921,1213
2021,West,35-44,M,18415,2473
2021,West,45-54,F,15876,2680
2021,West,45-54,M,29228,5618
2021,West,55-64,F,35473,5853
2021,West,55-64,M,59868,10481
2021,West,65-74,F,59555,8573
2021,West,65-74,M,85841,13394
